Gene	mut.rate	dn.LoF	trans.LoF	nontrans.LoF	case.LoF	ctrl.LoF	dn.mis3	trans.mis3	nontrans.mis3	case.mis3	ctrl.mis3	p.dn	p.TADA	p.TADA.LoF	q.TADA
CDC42BPB	6.63E-05	1	0	0	1	0	0	1	1	9	4	0.009103467	0.00348	0.00153	0.509704
NLE1	1.91E-05	0	0	0	0	0	0	11	4	16	4	1	0.0035	0.509	0.508396694
DENR	7.40E-06	0	0	0	0	0	1	0	0	0	0	1	0.00355	0.511	0.511432787
ARID1B	8.81E-05	1	0	0	1	0	0	3	1	10	8	0.012078622	0.00373	0.00207	0.532995772
DECR1	1.31E-05	0	1	0	5	0	0	1	1	7	3	1	0.00374	0.00321	0.530114839
BEND7	1.83E-05	0	0	0	5	0	0	0	0	1	0	1	0.00375	0.00651	0.52728
NCKAP1	4.47E-05	1	0	0	1	0	0	0	0	2	2	0.00614677	0.00376	0.001018	0.524490159
TRIP12	7.74E-05	1	0	0	1	0	0	2	1	9	9	0.010619458	0.00382	0.00165	0.528663937
DHX29	5.29E-05	0	0	0	6	0	0	4	6	9	9	1	0.00386	0.00356	0.53002625
MARCO	1.97E-05	0	0	0	1	0	0	4	0	2	0	1	0.00391	0.162	0.532729922
TSR1	3.10E-05	0	2	0	0	0	0	7	2	40	22	1	0.00398678	0.0702	0.539012595
TPK1	9.70E-06	0	0	0	0	0	1	0	0	0	0	1	0.00399	0.507	0.535330076
PANK3	1.45E-05	0	0	0	0	0	0	2	0	4	0	1	0.004	0.49	0.532606061
HRH2	1.63E-05	0	0	0	0	0	1	0	0	1	0	1	0.00403	0.472	0.532566015
DYNC1I2	2.47E-05	0	0	0	1	0	0	3	0	3	0	1	0.00404	0.164	0.529903284
ARSK	2.11E-05	0	0	0	0	0	0	3	1	17	4	1	0.00405	0.473	0.52728
FOXP1	2.66E-05	1	0	0	0	0	0	1	3	2	0	0.003662375	0.00407	0.00212	0.525987647
TRIM26	2.04E-05	0	0	0	0	0	0	3	1	12	2	1	0.00411	0.468	0.52728
TBL1XR1	1.99E-05	0	0	0	0	0	1	0	0	1	0	1	0.00421	0.501	0.536195362
FAM164A	1.26E-05	0	0	0	0	0	0	1	0	5	0	1	0.00422	0.485	0.533602302
PNMA5	1.72E-05	0	0	0	0	0	0	0	0	6	0	1	0.00423	0.473	0.531046286
OR52M1	1.33E-05	0	7	2	14	3	0	6	2	9	11	1	0.00429	0.00422	0.534759149
SYNGAP1	5.29E-05	0	0	0	3	0	0	8	0	4	3	1	0.0043	0.0326	0.532230986
ITGA5	4.19E-05	1	0	0	0	0	0	4	1	5	4	0.005762849	0.00433	0.00288	0.532196364
FREM3	8.46E-05	1	0	0	0	0	0	0	0	0	0	0.011601562	0.00434	0.00553	0.529721111
TBX15	2.00E-05	0	0	0	0	0	0	4	1	8	1	1	0.00448	0.47	0.543037793
CLEC16A	4.18E-05	0	0	0	5	0	0	10	2	12	8	1	0.00453	0.00732	0.545337534
GAS2L1	2.73E-05	0	0	0	0	0	0	8	0	4	2	1	0.00454	0.489	0.542823401
PDLIM1	1.29E-05	0	0	0	0	0	1	0	0	0	0	1	0.00458	0.466	0.543905946
PPP2R5C	2.15E-05	0	0	0	0	0	0	3	0	3	0	1	0.00458	0.473	0.54025557
RND2	8.92E-06	0	0	0	0	0	0	2	0	7	1	1	0.00464	0.489	0.543684267
KCNC1	2.34E-05	0	0	0	0	0	1	0	0	1	0	1	0.00476	0.473	0.554051391
DIP2C	6.13E-05	1	0	0	0	0	0	2	2	13	9	0.00841983	0.00485	0.0039	0.560813158
TXLNA	2.03E-05	0	0	0	0	0	0	2	0	4	0	1	0.00489	0.494	0.561742745
WFIKKN1	2.19E-05	0	0	0	0	0	0	1	0	5	0	1	0.00493	0.465	0.56266026
MAPK4	2.32E-05	0	0	0	0	0	0	1	0	5	0	1	0.00495	0.484	0.561298065
BPHL	1.14E-05	0	0	0	5	0	0	3	2	24	13	1	0.005	0.00661	0.563333333
EIF3G	1.24E-05	0	0	0	0	0	1	0	0	0	0	1	0.00502	0.46	0.561984204
CSTL1	5.66E-06	0	0	0	1	0	0	1	0	10	2	1	0.00506	0.173	0.562876962
STXBP1	2.38E-05	0	0	0	0	0	1	0	0	1	0	1	0.00508	0.463	0.561547673
AGK	1.64E-05	0	2	0	1	0	0	1	0	2	0	1	0.00514	0.0284	0.564629
PHF19	2.28E-05	0	0	0	0	0	1	0	0	1	0	1	0.00515	0.491	0.562213665
E4F1	3.05E-05	0	0	0	0	0	0	4	1	11	2	1	0.00526	0.517	0.570677531
NMI	1.16E-05	0	1	1	8	0	0	1	0	2	1	1	0.0054	0.00844	0.582272393
PHKB	4.28E-05	0	3	0	5	0	0	12	15	24	30	1	0.005444329	0.000786	0.583472714
CTU2	2.04E-05	0	0	0	5	0	0	5	3	29	12	1	0.00547	0.00614	0.58267103
USP46	1.43E-05	0	0	0	0	0	1	0	0	0	0	1	0.00551	0.476	0.583396145
ANKRD55	2.41E-05	0	2	0	3	0	0	4	4	27	13	1	0.00557	0.0062	0.586217485
MTA1	2.80E-05	0	0	0	0	0	0	1	0	5	0	1	0.00558	0.481	0.583774286
ERP44	1.59E-05	0	0	0	0	0	1	0	0	0	0	1	0.00571	0.499	0.59384
OR2W3	1.30E-05	0	0	0	0	0	0	3	2	22	6	1	0.00589	0.49	0.608956706
PCIF1	2.81E-05	0	0	0	0	0	0	1	0	8	1	1	0.00591	0.498	0.607451228
KDM6B	6.75E-05	1	0	0	1	0	0	1	0	5	7	0.00926747	0.00596	0.00168	0.609028837
PTPRA	3.13E-05	0	0	0	0	0	0	3	1	6	0	1	0.00597	0.483	0.606524393
MCM5	2.88E-05	0	0	0	1	0	0	5	1	9	2	1	0.00599	0.167	0.605058851
TMEM104	2.04E-05	0	1	0	1	0	0	6	1	6	2	1	0.00599	0.0652	0.601601371
RHBDF2	3.46E-05	0	0	0	0	0	0	13	1	13	7	1	0.00607	0.484	0.606172273
ATRN	5.65E-05	0	1	0	0	0	0	7	0	5	2	1	0.0061	0.149	0.605726554
TSSK4	1.36E-05	0	1	0	4	0	0	8	5	10	9	1	0.00618	0.00619	0.610222921
RNF168	2.15E-05	0	0	0	1	0	0	1	1	10	1	1	0.00637	0.184	0.625469944
METTL14	1.74E-05	0	0	0	0	0	1	0	0	0	0	1	0.00639	0.502	0.623948
HAMP	3.43E-06	0	0	0	0	0	0	0	0	5	0	1	0.00648	0.506	0.629240221
PRSS16	2.07E-05	0	1	0	0	0	0	1	0	10	2	1	0.00648	0.188	0.625782857
TUBA1A	1.80E-05	0	0	0	0	0	1	0	0	0	0	1	0.00653	0.487	0.627165464
SMARCC2	4.73E-05	1	0	0	1	0	0	0	5	4	2	0.006503135	0.00659	0.00114	0.629488261
FAU	5.13E-06	0	0	0	0	0	0	0	0	5	0	1	0.00661	0.503	0.62798573
SLX4	7.14E-05	0	0	0	5	0	0	7	2	27	18	1	0.00668	0.00763	0.631224086
C4orf32	5.05E-06	0	0	0	0	0	0	1	0	4	0	1	0.00681	0.489	0.640067166
TM4SF19	8.66E-06	1	0	0	0	0	0	2	6	0	0	0.001193813	0.00681	0.00056	0.636662553
NDUFB5	7.44E-06	0	0	0	0	0	0	2	0	3	0	1	0.00684	0.487	0.63608381
CST9	6.13E-06	0	0	0	0	0	1	1	0	3	1	1	0.00694	0.489	0.641986526
RAD21L1	2.14E-05	1	0	0	0	0	0	0	2	1	2	0.002947478	0.00699	0.00157	0.643226387
GMNN	7.87E-06	0	0	0	0	0	0	0	0	11	2	1	0.007	0.49	0.640791667
KIAA1143	5.74E-06	0	0	0	0	0	0	4	0	1	0	1	0.00703	0.479	0.640203523
NKAIN4	8.53E-06	0	0	0	0	0	0	5	0	6	2	1	0.00705	0.46	0.638715464
C14orf101	2.82E-05	0	3	0	2	2	0	4	1	10	0	1	0.0071	0.222	0.639946667
NBPF9	3.60E-05	0	0	0	2	0	0	4	0	0	0	1	0.0071	0.0668	0.636681633
RAB21	8.48E-06	0	0	0	0	0	0	2	0	3	0	1	0.00717	0.479	0.639695025
UNC80	0.000128155	1	0	0	0	0	0	14	11	8	7	0.017521863	0.00717	0.00872	0.636464242
FAM136A	5.31E-06	0	0	0	0	0	0	1	0	4	0	1	0.00718	0.475	0.634149146
OR4C46	1.27E-05	0	1	0	3	0	0	3	1	1	0	1	0.0072	0.0146	0.632736
MRPS26	7.79E-06	0	0	0	0	0	0	0	0	5	0	1	0.00721	0.494	0.630462488
OR4M1	1.30E-05	0	0	0	4	0	0	0	0	1	0	1	0.00726	0.0124	0.631691881
ANKMY2	1.69E-05	0	1	0	0	0	0	0	0	5	0	1	0.00727	0.161	0.629445911
FAM183A	5.18E-06	0	4	0	4	1	0	0	0	2	0	1	0.00727	0.0203	0.626360392
FAM151A	2.32E-05	0	5	0	10	3	0	3	3	18	9	1	0.00729	0.00744	0.625019707
NUDT3	6.53E-06	0	0	0	0	0	0	1	0	4	0	1	0.00746	0.485	0.636490097
SPG11	9.63E-05	0	0	1	3	3	0	6	4	39	15	1	0.007483727	0.742	0.635429871
SLC25A5	1.18E-05	0	0	0	0	0	0	5	0	0	0	1	0.00754	0.479	0.63713
CNTNAP3	5.09E-05	0	0	0	2	0	0	5	0	5	2	1	0.00763	0.0708	0.641650144
DEDD2	1.28E-05	0	0	0	0	0	0	0	0	5	0	1	0.00768	0.482	0.642779429
BRDT	3.61E-05	0	1	0	2	0	0	1	1	17	5	1	0.00774	0.0319	0.644730995
RELA	2.23E-05	0	0	0	1	0	0	4	0	1	0	1	0.00774	0.156	0.641689811
ZNF326	2.17E-05	0	0	0	1	0	0	1	0	7	1	1	0.00774	0.177	0.638677183
VN1R1	1.45E-05	0	1	0	3	0	0	1	0	0	0	1	0.00779	0.0154	0.639799252
MUDENG	1.95E-05	0	0	0	1	0	0	2	0	3	0	1	0.00781	0.143	0.638458419
ZNF268	1.52E-05	0	6	1	0	0	0	2	0	3	0	1	0.00784	0.0564	0.637943704
CD1D	1.34E-05	0	0	0	0	0	0	1	0	4	0	1	0.00789	0.501	0.639053641
OVOL2	1.07E-05	0	0	0	0	0	0	1	0	4	0	1	0.00791	0.489	0.637734679
HIST1H4B	4.02E-06	0	0	0	3	0	0	1	0	1	0	1	0.00795	0.029	0.638032877
SERTAD2	1.27E-05	0	0	0	0	0	0	1	0	4	0	1	0.00797	0.482	0.636730545
SYT2	1.61E-05	0	0	0	0	0	0	2	0	3	0	1	0.00797	0.467	0.633849412
OR9G9	1.27E-05	0	0	0	0	0	0	5	0	0	0	1	0.00802	0.491	0.634952793
MRPL44	1.30E-05	0	0	0	0	0	0	1	1	10	1	1	0.0081	0.499	0.638410762
MVD	1.60E-05	0	0	0	0	0	0	1	0	4	0	1	0.00815	0.47	0.639483929
SCD	1.45E-05	0	0	0	0	0	0	0	0	5	0	1	0.0082	0.477	0.640547556
OR56A4	1.53E-05	0	0	0	0	0	0	2	0	9	2	1	0.00824	0.498	0.640824071
SCN1A	7.89E-05	0	4	0	1	0	1	2	3	11	9	1	0.00842	0.0077	0.651937974
LENEP	2.48E-06	0	0	0	2	0	0	1	0	2	0	1	0.00845	0.0662	0.651391228
TSPYL4	1.59E-05	0	0	0	0	0	0	0	0	5	0	1	0.00853	0.497	0.654686812
SWT1	3.46E-05	0	1	0	0	0	0	1	0	12	3	1	0.00867	0.152	0.662538783
ARGFX	1.27E-05	0	0	0	3	0	0	1	0	1	0	1	0.00873	0.0298	0.664235844
ZNF780A	2.50E-05	0	1	0	4	0	0	2	4	9	7	1	0.00874	0.00648	0.662130345
ASPSCR1	2.18E-05	0	1	1	12	2	0	6	2	2	0	1	0.00879	0.0201	0.663060258
BROX	1.60E-05	0	0	0	0	0	0	1	0	4	0	1	0.00881	0.456	0.661728889
AURKC	1.20E-05	0	1	0	2	0	0	0	0	2	0	1	0.00889	0.0293	0.66489634
REXO1	4.81E-05	0	5	0	0	0	0	2	1	9	7	1	0.00892	0.00636	0.66431322
IGFL1	4.52E-06	0	0	0	0	0	0	1	0	20	7	1	0.00895	0.515	0.663735021
TGFB1I1	1.88E-05	0	0	0	0	0	0	2	0	3	0	1	0.00901	0.478	0.665377143
SLC35B4	1.34E-05	0	0	0	3	0	0	1	0	1	0	1	0.00903	0.033	0.664063933
SPAG17	8.55E-05	0	0	0	4	0	1	12	13	34	25	1	0.00903608	0.0157	0.661742246
TMEM55B	1.14E-05	0	0	0	0	0	0	2	0	6	1	1	0.00904	0.507	0.659282324
TNFRSF1A	1.82E-05	0	0	0	0	0	0	0	0	5	0	1	0.00908	0.481	0.65946314
MCOLN2	2.25E-05	0	1	0	4	0	0	1	2	8	4	1	0.00917	0.00671	0.66325893
SLC7A5	2.07E-05	0	0	0	0	0	0	3	0	2	0	1	0.00924	0.479	0.665582951
VANGL1	2.10E-05	0	0	0	4	0	0	1	1	9	3	1	0.00949	0.0147	0.68080098
DEPDC1	3.14E-05	0	2	0	2	0	0	6	2	2	1	1	0.0095	0.0133	0.678747967
REG3G	7.00E-06	0	0	0	2	0	0	1	0	2	0	1	0.00953	0.0695	0.678134737
FLNB	0.000102587	0	0	0	0	1	0	15	10	51	24	1	0.009596022	0.794	0.680079339
CHST6	1.62E-05	0	0	0	0	0	0	2	1	6	0	1	0.00965	0.491	0.681158233
TATDN1	1.14E-05	0	0	0	0	0	0	3	1	5	0	1	0.00965	0.492	0.6784336
ANKRD34A	2.00E-05	0	0	0	0	0	0	1	0	4	0	1	0.00976	0.507	0.683433307
CD151	1.01E-05	0	0	0	2	0	0	0	0	3	0	1	0.00982	0.07	0.684906032
TEPP	1.22E-05	0	0	0	0	0	1	2	0	5	2	1	0.00986	0.471	0.684977708
AIMP2	1.27E-05	0	0	0	2	0	0	3	0	3	1	1	0.00994	0.0694	0.687816693
LRCH3	2.80E-05	0	1	0	4	0	0	2	5	4	11	1	0.01005	0.00621	0.692701176
KPRP	2.37E-05	0	0	0	6	1	0	2	2	7	0	1	0.0101	0.0562	0.693428125
OR2Y1	1.29E-05	0	0	0	0	0	0	0	0	8	1	1	0.01014	0.492	0.693465525
SOCS7	2.34E-05	0	0	0	3	0	0	0	0	2	0	1	0.01019	0.0317	0.694183876
AEN	1.27E-05	0	0	0	0	1	0	10	0	1	0	1	0.0102	0.788	0.692182239
PPAPDC3	1.10E-05	0	0	0	0	0	0	2	0	6	1	1	0.0102	0.471	0.68952
GLI2	6.34E-05	0	1	0	3	0	0	5	6	14	22	1	0.0103	0.0157	0.693612261
FAM158A	8.27E-06	0	0	0	0	0	0	1	1	13	3	1	0.0104	0.481	0.697673282
NOC2L	2.91E-05	0	1	0	2	0	0	1	1	6	1	1	0.0104	0.0321	0.695020532
HNRNPA1	1.40E-05	0	0	0	1	0	0	0	1	7	0	1	0.0106	0.175	0.70570303
IZUMO1	1.37E-05	0	0	0	0	0	0	3	0	5	1	1	0.0106	0.484	0.70304
ADI1	6.87E-06	0	0	0	1	0	0	4	1	3	0	1	0.0108	0.142	0.71361203
GDPD4	2.08E-05	0	1	0	4	0	0	1	1	4	2	1	0.01083	0.00666	0.712914157
